player_id,team,canonical_name,normalized_name,club,birth_date,provider,provider_player_id,source,match_confidence,status
algeria_achref_abada,Algeria,Achref Abada,achrefabada,USM Alger,"June 15, 1999",,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1.0,canonical_squad_identity
algeria_adil_boulbina,Algeria,Adil Boulbina,adilboulbina,Al-Duhail,"May 2, 2003",,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1.0,canonical_squad_identity
algeria_amine_gouiri,Algeria,Amine Gouiri,aminegouiri,Marseille,"February 16, 2000",,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1.0,canonical_squad_identity
algeria_anis_hadj_moussa,Algeria,Anis Hadj Moussa,anishadjmoussa,Feyenoord,"February 11, 2002",,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1.0,canonical_squad_identity
algeria_aissa_mandi,Algeria,Aïssa Mandi,aissamandi,Lille,"October 22, 1991",,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1.0,canonical_squad_identity
algeria_fares_chaibi,Algeria,Farès Chaïbi,fareschaibi,Eintracht Frankfurt,"November 28, 2002",,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1.0,canonical_squad_identity
algeria_fares_ghedjemis,Algeria,Farès Ghedjemis,faresghedjemis,Frosinone,"September 6, 2002",,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1.0,canonical_squad_identity
algeria_hicham_boudaoui,Algeria,Hicham Boudaoui,hichamboudaoui,Nice,"September 23, 1999",,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1.0,canonical_squad_identity
algeria_houssem_aouar,Algeria,Houssem Aouar,houssemaouar,Al-Ittihad,"June 30, 1998",,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1.0,canonical_squad_identity
algeria_ibrahim_maza,Algeria,Ibrahim Maza,ibrahimmaza,Bayer Leverkusen,"November 24, 2005",,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1.0,canonical_squad_identity
algeria_jaouen_hadjam,Algeria,Jaouen Hadjam,jaouenhadjam,Young Boys,"March 26, 2003",,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1.0,canonical_squad_identity
algeria_luca_zidane,Algeria,Luca Zidane,lucazidane,Granada,"May 13, 1998",,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1.0,canonical_squad_identity
algeria_melvin_mastil,Algeria,Melvin Mastil,melvinmastil,Stade Nyonnais,"February 19, 2000",,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1.0,canonical_squad_identity
algeria_mohamed_amine_tougai,Algeria,Mohamed Amine Tougai,mohamedaminetougai,Espérance de Tunis,"January 22, 2000",,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1.0,canonical_squad_identity
algeria_mohamed_amoura,Algeria,Mohamed Amoura,mohamedamoura,VfL Wolfsburg,"May 9, 2000",,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1.0,canonical_squad_identity
algeria_nabil_bentaleb,Algeria,Nabil Bentaleb,nabilbentaleb,Lille,"November 24, 1994",,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1.0,canonical_squad_identity
algeria_nadhir_benbouali,Algeria,Nadhir Benbouali,nadhirbenbouali,Győri ETO,"April 17, 2000",,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1.0,canonical_squad_identity
algeria_oussama_benbot,Algeria,Oussama Benbot,oussamabenbot,USM Alger,"October 11, 1994",,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1.0,canonical_squad_identity
algeria_rafik_belghali,Algeria,Rafik Belghali,rafikbelghali,Hellas Verona,"June 7, 2002",,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1.0,canonical_squad_identity
algeria_ramiz_zerrouki,Algeria,Ramiz Zerrouki,ramizzerrouki,Twente,"May 26, 1998",,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1.0,canonical_squad_identity
algeria_ramy_bensebaini,Algeria,Ramy Bensebaini,ramybensebaini,Borussia Dortmund,"April 16, 1995",,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,1.0,canonical_squad_identity
