match_id,player_id,player,team,opponent,date,competition,position,started,minutes,goals,assists,xg,xa,shots,shots_on_target,key_passes,progressive_passes,progressive_carries,duels_won,duels_lost,pressures,tackles,interceptions,aerials_won,aerials_lost,saves,goals_conceded,source,source_confidence,updated_at
FRA-BRA-TEST,brazil_alisson,Alisson,Brazil,France,2026-06-11,Friendly,UNK,False,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,observed_events_lineups,0.82,2026-07-28T22:16:26.060815Z
FRA-BRA-TEST,brazil_bruno_guimaraes,Bruno Guimaraes,Brazil,France,2026-06-11,Friendly,UNK,False,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,observed_events_lineups,0.82,2026-07-28T22:16:26.060815Z
FRA-BRA-TEST,brazil_casemiro,Casemiro,Brazil,France,2026-06-11,Friendly,UNK,False,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,observed_events_lineups,0.82,2026-07-28T22:16:26.060815Z
FRA-BRA-TEST,brazil_marquinhos,Marquinhos,Brazil,France,2026-06-11,Friendly,UNK,False,89.0,0.0,0.0,0.12,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,observed_events_lineups,0.82,2026-07-28T22:16:26.060815Z
FRA-BRA-TEST,brazil_raphinha,Raphinha,Brazil,France,2026-06-11,Friendly,UNK,False,61.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,observed_events_lineups,0.82,2026-07-28T22:16:26.060815Z
FRA-BRA-TEST,brazil_vinicius_junior,Vinicius Junior,Brazil,France,2026-06-11,Friendly,UNK,False,77.0,0.0,0.0,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,observed_events_lineups,0.82,2026-07-28T22:16:26.060815Z
FRA-BRA-TEST,france_adrien_rabiot,Adrien Rabiot,France,Brazil,2026-06-11,Friendly,UNK,False,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,observed_events_lineups,0.82,2026-07-28T22:16:26.060815Z
FRA-BRA-TEST,france_antoine_griezmann,Antoine Griezmann,France,Brazil,2026-06-11,Friendly,UNK,False,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,observed_events_lineups,0.82,2026-07-28T22:16:26.060815Z
FRA-BRA-TEST,france_aurelien_tchouameni,Aurelien Tchouameni,France,Brazil,2026-06-11,Friendly,UNK,False,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,observed_events_lineups,0.82,2026-07-28T22:16:26.060815Z
FRA-BRA-TEST,france_dayot_upamecano,Dayot Upamecano,France,Brazil,2026-06-11,Friendly,UNK,False,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,observed_events_lineups,0.82,2026-07-28T22:16:26.060815Z
FRA-BRA-TEST,france_jules_kounde,Jules Kounde,France,Brazil,2026-06-11,Friendly,UNK,False,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,observed_events_lineups,0.82,2026-07-28T22:16:26.060815Z
FRA-BRA-TEST,france_kylian_mbappe,Kylian Mbappe,France,Brazil,2026-06-11,Friendly,UNK,False,90.0,2.0,0.0,1.4100000000000001,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,observed_events_lineups,0.82,2026-07-28T22:16:26.060815Z
FRA-BRA-TEST,france_mike_maignan,Mike Maignan,France,Brazil,2026-06-11,Friendly,UNK,False,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,observed_events_lineups,0.82,2026-07-28T22:16:26.060815Z
FRA-BRA-TEST,france_ngolo_kante,Ngolo Kante,France,Brazil,2026-06-11,Friendly,UNK,False,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,observed_events_lineups,0.82,2026-07-28T22:16:26.060815Z
FRA-BRA-TEST,france_ousmane_dembele,Ousmane Dembele,France,Brazil,2026-06-11,Friendly,UNK,False,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,observed_events_lineups,0.82,2026-07-28T22:16:26.060815Z
FRA-BRA-TEST,france_william_saliba,William Saliba,France,Brazil,2026-06-11,Friendly,UNK,False,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,observed_events_lineups,0.82,2026-07-28T22:16:26.060815Z
