match_id,match_date,player_id,player,team,opponent,position,started,minutes,goals,assists,xg,xa,shots,shots_on_target,key_passes,progressive_actions,defensive_actions,pressures,saves,goals_conceded,cards,player_rating,attacking_impact,creative_impact,defensive_impact,goalkeeper_impact,discipline_risk,stamina_load,data_quality,source,updated_at
FRA-BRA-TEST,2026-06-11,brazil_raphinha,Raphinha,Brazil,France,UNK,False,61.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05,1.595,0.0,0.0,0.0,0.0,67.78,observed_events_estimated_minutes,observed_events_lineups,2026-08-18T11:14:17.838798Z
FRA-BRA-TEST,2026-06-11,brazil_vinicius_junior,Vinicius Junior,Brazil,France,UNK,False,77.0,0.0,0.0,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.27,0.307,0.0,0.0,0.0,0.0,85.56,observed_events_estimated_minutes,observed_events_lineups,2026-08-18T11:14:17.838798Z
FRA-BRA-TEST,2026-06-11,brazil_marquinhos,Marquinhos,Brazil,France,UNK,False,89.0,0.0,0.0,0.12,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.19,0.09,0.0,0.0,0.0,0.0,98.89,observed_events_estimated_minutes,observed_events_lineups,2026-08-18T11:14:17.838798Z
FRA-BRA-TEST,2026-06-11,brazil_alisson,Alisson,Brazil,France,UNK,False,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.18,0.0,0.0,0.0,0.25,0.0,18.89,observed_events_estimated_minutes,observed_events_lineups,2026-08-18T11:14:17.838798Z
FRA-BRA-TEST,2026-06-11,brazil_bruno_guimaraes,Bruno Guimaraes,Brazil,France,UNK,False,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.17,0.0,0.0,0.12,0.0,0.0,100.0,observed_events_estimated_minutes,observed_events_lineups,2026-08-18T11:14:17.838798Z
FRA-BRA-TEST,2026-06-11,brazil_casemiro,Casemiro,Brazil,France,UNK,False,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.12,0.0,0.0,0.12,0.0,0.0,52.22,observed_events_estimated_minutes,observed_events_lineups,2026-08-18T11:14:17.838798Z
FRA-BRA-TEST,2026-06-11,france_kylian_mbappe,Kylian Mbappe,France,Brazil,UNK,False,90.0,2.0,0.0,1.41,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.31,3.618,0.0,0.0,0.0,0.0,100.0,observed_events_estimated_minutes,observed_events_lineups,2026-08-18T11:14:17.838798Z
FRA-BRA-TEST,2026-06-11,france_ousmane_dembele,Ousmane Dembele,France,Brazil,UNK,False,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.22,0.0,0.15,0.0,0.0,0.0,100.0,observed_events_estimated_minutes,observed_events_lineups,2026-08-18T11:14:17.838798Z
FRA-BRA-TEST,2026-06-11,france_william_saliba,William Saliba,France,Brazil,UNK,False,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.21,0.0,0.0,0.12,0.0,0.0,100.0,observed_events_estimated_minutes,observed_events_lineups,2026-08-18T11:14:17.838798Z
FRA-BRA-TEST,2026-06-11,france_mike_maignan,Mike Maignan,France,Brazil,UNK,False,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.2,0.0,0.0,0.0,0.25,0.0,32.22,observed_events_estimated_minutes,observed_events_lineups,2026-08-18T11:14:17.838798Z
FRA-BRA-TEST,2026-06-11,france_aurelien_tchouameni,Aurelien Tchouameni,France,Brazil,UNK,False,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.17,0.0,0.0,0.12,0.0,0.0,100.0,observed_events_estimated_minutes,observed_events_lineups,2026-08-18T11:14:17.838798Z
FRA-BRA-TEST,2026-06-11,france_ngolo_kante,Ngolo Kante,France,Brazil,UNK,False,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.14,0.0,0.0,0.12,0.0,0.0,71.11,observed_events_estimated_minutes,observed_events_lineups,2026-08-18T11:14:17.838798Z
FRA-BRA-TEST,2026-06-11,france_dayot_upamecano,Dayot Upamecano,France,Brazil,UNK,False,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.13,0.0,0.0,0.12,0.0,0.0,60.0,observed_events_estimated_minutes,observed_events_lineups,2026-08-18T11:14:17.838798Z
FRA-BRA-TEST,2026-06-11,france_adrien_rabiot,Adrien Rabiot,France,Brazil,UNK,False,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.08,0.0,0.0,0.0,0.0,0.0,68.89,observed_events_estimated_minutes,observed_events_lineups,2026-08-18T11:14:17.838798Z
FRA-BRA-TEST,2026-06-11,france_antoine_griezmann,Antoine Griezmann,France,Brazil,UNK,False,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.05,0.0,0.0,0.0,0.0,0.0,40.0,observed_events_estimated_minutes,observed_events_lineups,2026-08-18T11:14:17.838798Z
